timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
2016/09/01 06:31:02.240,2347,VendorSearch,200,OK,User Thread Group 1-30,text,true,,970,202,225,2181,0
2016/09/01 06:31:02.292,2334,RemoveFollow,200,OK,User Thread Group 1-180,text,true,,640,202,225,2168,0
2016/09/01 06:31:01.315,3361,ApproveOffer,200,OK,Vendor Threadgroup 2-13,text,true,,557,23,225,3195,0
2016/09/01 06:31:01.494,3207,VendorProvidingOffers,200,OK,User Thread Group 1-125,text,true,,43632,202,225,2322,0
2016/09/01 06:31:02.167,2544,VendorList,200,OK,User Thread Group 1-75,text,true,,20133,202,225,2136,0
2016/09/01 06:31:02.396,2338,RemoveFollow,200,OK,User Thread Group 1-189,text,true,,640,202,225,2172,0
2016/09/01 06:31:02.330,2406,PlaceOrderWIthAddress,200,OK,User Thread Group 1-96,text,true,,639,202,225,2241,0
2016/09/01 06:31:02.414,2448,ClaimOffer,200,OK,User Thread Group 1-184,text,true,,617,202,225,2282,0
2016/09/01 06:31:02.438,2447,SetFollow,200,OK,User Thread Group 1-185,text,true,,619,202,225,2281,0
2016/09/01 06:31:02.420,2472,ProductSearch,200,OK,User Thread Group 1-175,text,true,,2934,202,225,2306,0
2016/09/01 06:31:02.475,2450,SetRange,200,OK,User Thread Group 1-118,text,true,,630,202,225,2284,0
2016/09/01 06:31:02.529,2432,UserLogin,200,OK,User Thread Group 1-54,text,true,,942,202,225,2266,0
2016/09/01 06:31:02.598,2369,RemoveFollow,200,OK,User Thread Group 1-179,text,true,,640,202,225,2203,0
2016/09/01 06:31:01.920,3056,ClaimedOffers,200,OK,User Thread Group 1-121,text,true,,28589,202,225,2477,0
2016/09/01 06:31:02.637,2416,SetRange,200,OK,User Thread Group 1-172,text,true,,630,202,225,2251,0
2016/09/01 06:31:02.715,2349,UserLogin,200,OK,User Thread Group 1-49,text,true,,942,202,225,2183,0
2016/09/01 06:31:01.667,3415,RatingList,200,OK,User Thread Group 1-21,text,true,,53231,202,225,2336,0
2016/09/01 06:31:02.715,2370,SetFollow,200,OK,User Thread Group 1-74,text,true,,619,202,225,2203,0
2016/09/01 06:31:02.787,2310,UserLogin,200,OK,User Thread Group 1-99,text,true,,942,202,225,2143,0
2016/09/01 06:31:01.686,3451,UserLogin,200,OK,User Thread Group 1-98,text,true,,942,202,225,3284,0
